label,switch_pred,switch_nn_output,f0,f1,f2,f3,f4,f5,f6,f7,f8
0,0,-1128961,45,-756,-293,489,509,-345,-286,16,1808
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
1,0,-73281,45,368,686,489,509,-345,-286,-6,-32
0,0,-1207983,45,-756,-293,489,509,-345,-286,51,3656
0,0,-1297021,210,-756,-293,-537,-515,140,-1050,-23,-44
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
1,0,-73281,45,368,686,489,509,-345,-286,62,-42
0,0,-882701,45,-756,-293,489,509,1841,-286,88,-33
0,0,-1285782,45,-756,-293,489,509,-345,-286,-15,67
1,1,390907,-92,368,-420,-537,-515,-345,478,-23,-45
1,1,290193,238,368,-420,-537,-515,-345,478,-23,-45
0,0,-73281,45,368,686,489,509,-345,-286,-22,-43
1,0,-73281,45,368,686,489,509,-345,-286,-22,-44
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
0,0,-1493809,210,-756,-293,-537,-515,-345,-1050,-22,-44
1,0,-73281,45,368,686,489,509,-345,-286,39,-44
1,1,126443,45,-600,686,489,509,869,-286,-21,-30
0,0,-73281,45,368,686,489,509,-345,-286,-22,-44
1,1,627559,45,368,686,489,509,869,-286,-21,-44
1,1,299577,45,-600,686,489,509,1841,-286,876,-34
1,1,282581,210,368,-420,-537,-515,-345,478,-21,-45
1,1,854215,-1438,368,-420,-537,-515,-345,478,-23,-45
0,0,-1311083,45,-756,-293,489,509,-345,-286,-18,-36
1,1,552308,45,-600,686,489,509,1841,-286,73,-39
1,0,-73281,45,368,686,489,509,-345,-286,-21,-42
0,0,-1493809,210,-756,-293,-537,-515,-345,-1050,-22,-44
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
0,0,-1297021,210,-756,-293,-537,-515,140,-1050,-23,-44
1,1,312845,348,368,-420,-537,-515,-345,478,-23,-45
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
1,1,231667,45,-600,686,489,509,1841,-286,1249,-32
1,1,1121468,-2922,368,-420,-537,-515,-345,478,-23,-45
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
0,0,-1297021,210,-756,-293,-537,-515,140,-1050,-23,-44
0,1,284109,210,368,-420,-537,-515,-345,478,-24,-45
1,0,-73281,45,368,686,489,509,-345,-286,-21,-42
1,1,125276,45,-600,686,489,509,869,-286,-22,-31
1,0,-73281,45,368,686,489,509,-345,-286,-21,-42
1,1,1058265,-2564,368,-420,-537,-515,-345,478,-23,-45
1,0,19771,-394,368,-157,-537,-515,-345,-1050,-22,-43
0,0,-73281,45,368,686,489,509,-345,-286,-22,-44
1,1,694099,-889,368,-420,-537,-515,-345,478,-21,-45
1,1,284109,210,368,-420,-537,-515,-345,478,-23,-45
0,1,282581,210,368,-420,-537,-515,-345,478,-21,-45
1,0,-73281,45,368,686,489,509,-345,-286,-19,-44
0,0,-1242616,45,-756,-293,489,509,-345,-286,-8,239
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
0,0,-1298419,45,-756,-293,489,509,-345,-286,-1,8
0,0,-1297021,210,-756,-293,-537,-515,140,-1050,-23,-44
1,1,388827,210,-600,686,-537,-515,140,-1050,-23,-42
1,0,-73281,45,368,686,489,509,-345,-286,-21,-42
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
1,1,627559,45,368,686,489,509,869,-286,-21,-44
1,0,-73281,45,368,686,489,509,-345,-286,-22,-44
0,0,-1309582,45,-756,-293,489,509,-345,-286,-12,-36
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
1,1,290193,238,368,-420,-537,-515,-345,478,-23,-45
1,1,284109,210,368,-420,-537,-515,-345,478,-23,-45
1,1,497233,45,-600,686,489,509,1355,-286,-20,84
1,1,290193,238,368,-420,-537,-515,-345,478,-23,-45
1,1,283345,210,368,-420,-537,-515,-345,478,-22,-45
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
1,1,1001219,-2235,368,-420,-537,-515,-345,478,-23,-45
1,1,626031,-889,368,-420,-537,-515,-345,478,122,-45
1,1,1134745,45,-600,686,489,509,1355,-286,-18,611
1,1,116746,45,-600,686,489,509,869,-286,-21,-38
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
1,1,554600,45,-600,686,489,509,1841,-286,69,-38
1,1,808455,210,368,-420,-537,-515,140,478,-24,-45
1,1,581462,45,-600,686,489,509,1841,-286,-17,-39
1,1,145837,45,-600,686,489,509,869,-286,-21,-13
